Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2																11934.9	11949	4300.15	26026.2	10429.5	10796.9																												6850.93		10643		441167	244800														
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G			76110.5	75210.5					40569.8		32027.1	31336.1	35345.9	27513.5	20472.9	23961.3	24345.6	22695.1	29689.3	88147	53014.9	68180	85233.5	74935	74018.1	79242.8	80530.6	81943	105985	169655	152124	148270														26146.4	24298		17854.1	26097.6	6032.15			29006.4		39519.4	49214.8		52483	111280	88098.3	81574.2	120100	198853	222962	129547		
A6NEF3;A6NEM1;A6NI86	A6NEM1;A6NC78;A6NCC3;H3BSY2;A6NEF3;A6NEY3;A6NI86;A6NMD2;F8WBI6;H3BV12;I6L899	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN	GOLGA6L10;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4																			72599.4	19661.8			19529.3	9520.23																													40058.3	49158.7			37336.4			13934.3								
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2															38257.1		12788.9			58425	42374.5	52140.7	57210.9	49761.4	28701.8	19701.7		14170																										18764.2		77033	41275.1											
A6NHG4;P30046	P30046;A6NHG4	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein		140652	59390.7	89810.5		46912.3																														584181										5371.45																						
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1									53586.3	52944.2		12959.9			112145	21078.7	34712.3	28145	20972	27051.6	7216.87	8141.42	18680.3																				194323	45236.9					229837	445173	27292.6	14003.4		10595.3							24572.2							
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2																	11494.4	79282.8	44963.3		15615.3	9179.37	7990.41	19250.3																													66981.5	44298.4		12637												
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B																	8226.2	12108.5	16187.3		24404.5	9882.34	19531.3	29458.8	14475.7	8562.95	12773	23896.5	26859.4																											34502	16672.1		33793.4	38154.8	29572.6							
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C		119282	97632.7	106628	145492	92181	55577.9	92871.4	111961	62696.5	61741.4	81939.6	91458.7	101515	66509.4	66291.5	54674.4	46046.9	50298.2	67343.8	38791.5	33071.8	38261.9	31650.8	33897.1	33659.2	40170.2	50566.8	72058.5	89091.8	154641	109841	120216									131551	100766	114885	57917.3	73847	77710	82401.2	67548.1	106133	76866.2	53606.5	34427.8	17274.2		35042.2	23918.6	262847	40732.1	57447.5	61283.9	57215.8	115968	73810	120658	91768	118389	
A6QL63	A6QL63	ABTB3_HUMAN	ABTB3	Ankyrin repeat and BTB/POZ domain-containing protein 3																		16809.1	15825.5		8816.54	3921.88																													20778.3																	
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32		76660.4	52152.7	91151.8	55860.5			49613.9	39105.5	34823.5	52121.3	68257.6	60578.2	47447.8	30466.7	22692.4	15854.8	16276.6	14194.2	19904.5	14854.6	10457.6	7781.17	5986.04	8306.25	9869.97																			42418.3	91929.4	75684.4	37751.4	30517.3	29643.6	21029.1					17285.2						14073.4						
A8K0S8	A8K0S8	ME3L2_HUMAN	MEIS3P2	Putative homeobox protein Meis3-like 2														7957.47	24126.8	33905.2	29643.7		28909.4	21258.4	11256.5	9843.44																											22484.3	78260.9	71930																	
A8MTY0	Q03923;O75437;Q03936;Q14593;Q86V71;A8MTY0	ZN724_HUMAN	ZNF724	Zinc finger protein 724																								5121.01		11874.3	12193.6	21173.4	72783.1	30115.3																																11015.2	68537.3					
A8MVU1	A8MVU1	NCF1C_HUMAN	NCF1C	Putative neutrophil cytosol factor 1C	1.61166e+06				133169	156336			491283		72729.5							28122.3	34063.2	40066.4	36430.7		73514.7	73983.9	89025.7	78103	65508.1						605738		438609			469800	1.42226e+06	1.2082e+06	1.85238e+06	243301						733228								133755	83153.6		159751	77896.3	41909.2						511570	1.5254e+06
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	877961	95358.8	258643	304849	247896	148724	181891	128722	25645	11929.2		64335.5			71938.1	30336.1	24467.8															272949					103088	161785	315497	455010	194148	143583	31063.1																								176826	
A8MYB1	A8MYB1	TMC5B_HUMAN	TMCO5B	Transmembrane and coiled-coil domain-containing protein 5B															78425.5	129682									87484.8	102078																							10270.4				218715	178043		400236	217240		107259			11138.1	16649.5					
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8																					3797.9	10458.1	12439.9	20815	65245.5	160278	138470	77707.3																												8657.08	6416.46		28585.4		64849.7	20484.1						
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein													11465.6		7250.64	13294.5	40948.8	86204.8	78393.5	51432.6	46298.6	34731.2	14262.9	19330.6	25162	14660.2																						16612.3	23153.8	39189.6	64591.2	146681	105312	70125.9		51143.7	58431.6		69748.1		17739.6							
B1AK53	B1AK53	ESPN_HUMAN	ESPN	Espin				85662.3	54832	268484	156697	140475	111876	92379.3	86922.4	40695	48476.3	136754	138858	197218	174971	120617	122178	91411.6	73279.8	45145.7	61224.7	34264.3	62263.3	46102.4	27199.6	43655.7	35808.7			171037	53427													39372.7	32807.3	71782.9	119976	207197	132416	68664.3	88959.6	30734.2		50350.4	69423.7		34935.2	52143.4	43743.5	53880.1	68908	106418				
C0HLS1	C0HLS1	OSCRI_HUMAN	SCRIB	SCRIB overlapping open reading frame protein		117180	288692		168853	118291			37986.9	36309.1	60901	138946	206780	106430	150225	53368.9	6248.61																					485419			486862			34216.3	23387.9	92952.6	132181	86756.7	196306	71623.4																55079.2		
C4AMC7;Q6VEQ5	A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3															19253.1				26852.7			18914.6	20004.6	17020.7	18406	36461.6	58881.7	94892.6	118347	29004.1																														30805.6	60854.5	106832	108185					
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1		40576.7	179215	165346	109027	154747	273066	199489	205233	200632	230260	345189	276079	174352	141787	122523	43519.3	50589.7	43206.1	58011.4	35108.5	12059.3	33103.7	14819	21107.7			33433.8	35168.6		71693.6								183091	206200	401525	257492	274239	348496	207420	547433	318249	246511	136584	128035	71812.1	67097.8	33487.2			30007.7	23024.6			46838.7	20135.9	19859.2						
E9PAV3	Q13765;E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form													11208.8			10450.3	5660.96	8111.8		22228.2	12467.9	16108.1	24120.7	43048.4	48741.4	127614	305292	270205	259002	144750	102530		86227.2													8047.74		13803.6	8705.06	29782.9	17689.3					48423	19078.8	742821	74321.3	172032	397782	484981	266509	173481	69860		111274	
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98		400436	582315	672749	295853	462157	368494	156523	87234.1	42021.9	40399.2	66468.2	20753.3	37934.2	31298	52504.6	44335.6	49578.9	40939.2	66468.9	39654.8	32155.8	35736	33046.1	31764.8	40541.8	41111.5	98902.8	357161	566441	427256	526654				81275	107718	194289	182776	123326		22136.3				43764.4	17704.5	19985.1	22424.2	36999	30844	54047.8	31931.9			28536.1			28034.8	24522.8	52280.1	73425.7	234938	333272	294397	139236		
L0R819	L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein												39625.1	7147.88	10148.1	15187.7	12407.3					4445.23					40922.1	64297.9	65886.8	31895.3																			8216.87	13846	5698.55										50480.4	134350	64648.5	126404	64299.9	62983.4			
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein																4223.41	45482.4	40891.8	56842.7	113697	56234	80048.8	44039.8	25290.2	21995.3	17506.2	25838.2	37604.6	51377	78452	57627.6																			6626.64	56712.9	69595.6		74318.9		77433.8	43609.4		18216.7	67112.1	21999.1	50598.9	99063.5		73561.9			
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4.85763e+06	1.24718e+07	1.24593e+07	1.17537e+07	8.08647e+06	7.04612e+06	6.47361e+06	5.3665e+06	3.85295e+06	1.65412e+06	850493	364599	125795	49062.3	41853.3	30738.8	11769.5	15321.7	27569.9	23905.4	3839.7		13377	4949.58		18203.8	31361	13502	22155.5	64343.7	105710	146711			1.16262e+06	1.8152e+07	1.72152e+07	2.38706e+07	1.66628e+07	2.12374e+07	1.44158e+07	5.67685e+06	2.19266e+06	2.41396e+06	659035	373830	110076	64510.3	25535.8	35788.5									29299	48462.6		41705.1	67368.1			331072		
O00142	O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial												32760.6	52162.8	60460.2	56335.5	38000.3	24397.9	20304.3	12004.7		10727.4	11722.4	10304.4	10566	20883.8	15218.7																				37384.4	88030.9	117146	102434	46356.4	28019.9	19738.5	14989.3	12197.4		11330	17848				18800.6							
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1		98812.6	125270	185366	149349	143536	182998	156427	146580	286495	264562	160596	145841	115065	42359.2	53760.2	40067.4	26236.8	20328	45746	21367.9	25814.6	29577.8	20778.1	34588.8	26249.3	23805.9	43459.6	64834.2													149972	207006	347346	264096	336511	258587	155031	77639.7	100280	59646.6	44265.7		28773.4		23362.8	24426		29423.2	40557.1	34786.4	76374.8	97274.1					
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase				43358.9		25531.2			23058.7	23548.7	19340.5	8103.37	6464.25	7097.09	21875.8	13237.7	3489.84	20552.2			3464.03			7469.95																						22413.2	6767.29	14889.6	5124.45												15112.6	18008.1						
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein		47724.4			68339.7				57451.2	86208.3	289385	233525	123335	111986	82719.3	168662	131556	95874	73539.6	67400.9	36615	37625.9	44812.2	10847.1	33445.7	23732.3	32986.8	50476.9	58425			106493												83800.4	294567	363233	177413	150163	143394	292004	262972	111330	44659.3			36854.9	26206.6		49319.5	85285.8	51306.4	80044.8	84087.9	135130	176644	109959	202995	
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1																22035.9	19701.9	40875.1	38728.2	28764.5	37345.6	72110.1	208298	135854	52230.7	40058.9	24485.2	27139.3			128527																				13720.1		20119	9838.21		67754.4	200187	346621	40130.7	25018.8	30694.1	24811.4		38065.1				
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3																		4414.9			11634.8		2963.34																																													
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein		53221.1	696000	527451	361489	417620	341858	252237	265541	361072	892447	562182	245278	124734	127141	90609.4	48968.9	49377.2	65501.8	120173	59678.9	41616.7	54147.9	84789.3	142994	290271	2.08988e+06	7.40914e+06	6.58056e+06	5.38983e+06	2.98181e+06	1.20886e+06	244066	248135			103659		179018			30805.6	69780.2	579069	363812	454213	278167	236984	129374	106131	40225.1	74526.8	59305.5	49832.6		24318.9	75592.5		125212	374434	1.67433e+06	7.50019e+06	7.53335e+06	2.60013e+06	2.63726e+06	611107	644989	559153
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1		254348	221203	161399	100203	36521.9	57127.1	35180.9	24622.5	7234.21			4498.65		11865.4							26466.8						17838.8								91503.7			116786				26195.3														18643.7			14540	9955.48	16388.4						
O00204	O00204	ST2B1_HUMAN	SULT2B1	Sulfotransferase 2B1		4.76646e+06	1.76166e+06	1.13806e+06	892038	630481	1.27184e+06	2.90611e+06	3.817e+06	3.05155e+06	2.48383e+06	2.10821e+06	92418.4	153771	256238	239912	179665	123636	73725.3	78034.5	69631.9	76883.4	52920.2	66934.8	70173.7	65545.5	48208.5	60344.4					69104.8			4.79533e+06	1.42333e+06	443576	884227		1.09518e+06	2.7701e+06	3.05157e+06	835404	949724	2.29922e+06	1.77095e+06	154266	212971	124859	137195	116576	90969.8	44577.5		91398	62591.8		73451.9	82837.5	43475.1		93714.3			220563	95500.8	
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11												194080	400316	265853	138206	106539	80999	63611.2	98167.4	38251.3	83750.2	117073	222132	129803	94538.3	94007.5	69930.8	53613.4	42417.2	500213	68061.5															120811	304203	186857	114196	60902.7	49896.9		61130.8	39876.1		89968.1	173494		77815.2	40272.9	66788.2	50447.1	42602.3	163097				
